student_id,name,major,semester,GPA,courses_taken,courses_gpa,required_major_courses_completed,credits_completed,current_courses,lab_interest_keywords,preferred_research_area,prior_project_experience,weekly_study_hours,attendance_rate,sleeps_hours_per_day,stress_level,assignment_completion_rate,class_participation
22000011,Park Nari,Computer Science,2,3.5,,,,0,ECE10002;ECE10020,Computer Vision;Multimedia Systems;Deep Learning,Human-Computer Interaction,no,8,86%,7,4,84%,81%
22100012,Oh Soobin,Computer Science,5,3.61,ECE10020;ECE10005;ECE20057;ECE20016;ECE20009;ECE20042,3.0;3.13;4.46;3.94;4.33;4.04,ECE10020,18,ECE30030;ECE30021;ECE30051;ECE30012,Deep Learning;Security,Software Engineering,yes,7,80%,8,10,75%,78%
22000013,Oh Hana,Electrical Engineering,2,3.26,,,,0,ECE10005;ECE10002,Integrated Circuits;Medical Imaging;Image Processing,Deep Learning,no,11,95%,9,8,92%,77%
22400014,Seok Seojin,AI - Computer Science and Engineering,4,3.26,ECE10005;ECE10020;ECE20057;ECE20065;ECE20010,2.78;3.11;4.15;3.76;3.9,ECE10020;ECE20010,15,ECE20006;ECE20026,Software Engineering;Wireless Communication;Mobile Computing;Human-Computer Interaction,Security,no,35,83%,5,7,91%,93%
22100015,Jung Myungsoo,Computer Science and Electrical Engineering,5,4.05,ECE10020;ECE10002;ECE10005;ECE20025;ECE20016;ECE20027;ECE20022;ECE20009,3.39;4.01;4.37;3.38;4.48;4.29;3.49;4.41,ECE10020,24,ECE30021;ECE30008,Artificial Intelligence;Medical Imaging,Software Engineering,no,16,75%,9,3,100%,77%
22200016,Hwang Seojin,AI - Computer Science and Engineering,5,3.62,ECE10002;ECE10005;ECE10020;ECE20010;ECE20065;ECE20016;ECE20063;ECE20027,4.45;3.44;3.44;3.96;3.12;3.07;2.85;4.08,ECE10020;ECE20010,24,ECE30011;ECE30008;ECE30030,Multimedia Systems;Mobile Development,Web Development,yes,17,88%,6,2,90%,78%
22400017,Seo Soobin,Computer Science,6,3.68,ECE10020;ECE10002;ECE20065;ECE20016;ECE20057;ECE20025;ECE20063;ECE20009;ECE30070;ECE30051,3.27;2.97;3.12;3.11;3.79;4.08;4.25;2.92;2.59;4.21,ECE10020,30,ECE30006;ECE30086;ECE30018;ECE30087,Integrated Circuits;Computer Vision;Mobile Development;Deep Learning,Multimedia Systems,no,19,83%,9,7,84%,84%
22000018,Ryu Youngjae,Electrical Engineering,4,3.75,ECE10005;ECE10020;ECE10002;ECE20057;ECE20016,3.64;3.0;2.67;4.17;3.94,ECE10020,15,ECE20010;ECE20021;ECE20053;ECE20063,Signal Processing;Software Engineering;Security;Sensor Technology,Web Development,no,29,76%,7,3,91%,96%
22000019,Jung Eunji,Computer Science,2,3.57,,,,0,ECE10002;ECE10005,Embedded Systems;Mobile Computing,Autonomous Systems,no,28,89%,3,8,75%,81%
22200020,Jeon Seungmin,AI - Computer Science and Engineering,2,3.2,,,,0,ECE10002;ECE10005,Security;Deep Learning;Game Development,Human-Computer Interaction,no,10,83%,6,6,80%,82%
22200021,Jang Jinwoo,Computer Science,4,3.48,ECE10005;ECE10002;ECE20057;ECE20025,4.02;2.89;3.9;3.02,,12,ECE20063;ECE20022;ECE20021;ECE20042,Autonomous Systems;Signal Processing;Sensor Technology,Wireless Communication,no,26,95%,9,8,96%,77%
22000022,Ryu Mingyu,Electrical Engineering,4,3.67,ECE10002;ECE10020;ECE20010;ECE20057;ECE20016,3.37;4.28;4.32;2.82;4.44,ECE10020,15,ECE20021;ECE20061;ECE20022;ECE20063,Autonomous Systems;Wireless Communication,Embedded Systems,yes,29,84%,9,2,100%,84%
22300023,Baek Minho,Computer Science,4,3.46,ECE10002;ECE10005;ECE20065;ECE20064,3.95;3.54;3.05;2.82,,12,ECE20042;ECE20027;ECE20006,Deep Learning;Image Processing;Robotics;Web Development,Autonomous Systems,no,26,98%,3,4,93%,97%
21900024,Choi Mingyu,Electrical Engineering,2,3.17,,,,0,ECE10020;ECE10002;ECE10005,Autonomous Systems;Human-Computer Interaction;Sensor Technology,Mobile Development,yes,32,85%,3,10,88%,90%
22300025,Byun Nari,Electrical Engineering,5,3.5,ECE10002;ECE10005;ECE10020;ECE20016;ECE20057;ECE20065;ECE20022;ECE20010;ECE20053,2.55;4.43;4.49;3.72;4.12;2.63;3.24;2.54;3.53,ECE10020;ECE20065,27,ECE30063;ECE30051;ECE30021;ECE30083,Signal Processing;Medical Imaging;Wireless Communication;Mobile Development,Web Development,no,17,83%,7,6,91%,76%
21900026,Nam Jiwon,Electrical Engineering,5,3.48,ECE10005;ECE10020;ECE10002;ECE20016;ECE20065;ECE20022;ECE20016,3.89;3.26;3.13;2.69;4.06;3.87;3.62,ECE10020;ECE20065,21,ECE30070;ECE30083;ECE30054;ECE30051,Medical Imaging;Image Processing,Integrated Circuits,no,6,76%,7,5,78%,88%
22100027,Park Nayeon,Computer Science and Electrical Engineering,4,3.72,ECE10002;ECE10020;ECE20064;ECE20016;ECE20010;ECE20057,3.54;3.39;3.57;4.3;3.96;3.28,ECE10020;ECE20010,18,ECE20026;ECE20006,Software Engineering;Sensor Technology;Computer Vision;Medical Imaging,Computer Vision,no,27,81%,4,2,89%,88%
21900028,Joo Suhyun,Computer Science,3,3.41,ECE10020;ECE10005,2.76;4.1,ECE10020,6,ECE20057;ECE20065,Autonomous Systems;Artificial Intelligence;Integrated Circuits,Autonomous Systems,no,18,75%,5,4,82%,89%
22200029,Ha Jiwon,Computer Science,2,3.34,,,,0,ECE10002;ECE10005,Autonomous Systems;Mobile Computing,Game Development,yes,33,76%,8,7,83%,93%
22200030,Jung Jinyoung,Computer Science,3,3.78,ECE10020;ECE10002;ECE10005,3.36;4.39;4.42,ECE10020,9,ECE20065;ECE20064;ECE20010,Computer Vision;Artificial Intelligence;Software Engineering,Game Development,yes,18,93%,9,8,89%,93%
21900031,Ha Mingyu,Electrical Engineering,5,3.65,ECE10002;ECE10005;ECE20016;ECE20057;ECE20065;ECE20021;ECE20016;ECE20006;ECE20061,3.84;4.29;3.0;2.59;4.41;4.29;4.49;3.44;4.21,ECE20065,27,ECE30021;ECE30063,Embedded Systems;Mobile Computing;Computer Vision;Mobile Development,Artificial Intelligence,yes,11,97%,7,1,91%,78%
22000032,Ha Gyuri,Computer Science and Electrical Engineering,2,3.82,,,,0,ECE10002;ECE10005;ECE10020,Multimedia Systems;Integrated Circuits;Artificial Intelligence,Web Development,yes,36,95%,7,9,86%,96%
22400033,Oh Soobin,Computer Science,6,3.26,ECE10020;ECE10005;ECE20025;ECE20057;ECE20064;ECE20016;ECE20026;ECE20009;ECE20021;ECE30051;ECE30021,3.06;3.6;3.59;2.81;2.88;4.08;2.52;3.32;4.42;2.78;3.22,ECE10020;ECE20026;ECE20021;ECE30021,33,ECE30078;ECE30018;ECE30003;ECE30040,Computer Vision;Mobile Computing,Integrated Circuits,yes,10,77%,3,2,88%,96%
22000034,Ryu Gyuri,AI - Computer Science and Engineering,6,3.31,ECE10002;ECE10005;ECE20010;ECE20065;ECE20057;ECE20025;ECE20026;ECE20022;ECE20009;ECE30021;ECE30008,2.61;3.29;3.8;3.94;3.32;2.86;3.96;2.81;3.26;4.11;4.34,ECE20010;ECE20026;ECE30021;ECE30008,33,ECE30018;ECE30087,Integrated Circuits;Multimedia Systems;Artificial Intelligence;Medical Imaging,Sensor Technology,no,23,79%,6,2,93%,100%
22400035,Seok Hoseok,Computer Science and Electrical Engineering,4,3.25,ECE10002;ECE10005;ECE10020;ECE20057;ECE20010,2.64;4.22;3.64;3.12;3.28,ECE10020;ECE20010,15,ECE20022;ECE20063,Integrated Circuits;Mobile Development;Signal Processing,Autonomous Systems,yes,32,96%,5,3,90%,81%
22400036,Park Jiwon,Computer Science and Electrical Engineering,2,3.2,,,,0,ECE10005;ECE10002,Signal Processing;Computer Networks;Sensor Technology;Wireless Communication,Multimedia Systems,yes,5,90%,7,4,76%,81%
22300037,Lim Dahyun,Electrical Engineering,2,2.71,,,,0,ECE10020;ECE10005,Deep Learning;Sensor Technology;Multimedia Systems,Autonomous Systems,yes,13,79%,6,2,85%,97%
22200038,Joo Youngjae,AI - Computer Science and Engineering,2,2.9,,,,0,ECE10020;ECE10005;ECE10002,Computer Networks;Mobile Computing;Integrated Circuits,Sensor Technology,no,31,87%,6,2,81%,94%
22300039,Lee Yuna,Computer Science and Electrical Engineering,2,3.9,,,,0,ECE10002;ECE10020;ECE10005,Integrated Circuits;Autonomous Systems;Mobile Development,Image Processing,no,34,85%,5,7,87%,89%
22100040,Oh Nari,Electrical Engineering,5,3.09,ECE10005;ECE10020;ECE10002;ECE20057;ECE20010;ECE20064;ECE20065;ECE20053;ECE20021;ECE20066,2.94;3.91;2.71;3.1;2.78;2.72;4.49;2.77;3.86;3.94,ECE10020;ECE20065;ECE20066,30,ECE30070;ECE30083;ECE30039,Human-Computer Interaction;Artificial Intelligence;Image Processing,Multimedia Systems,yes,25,94%,5,9,76%,76%
21900041,Ha Mingyu,Computer Science and Electrical Engineering,5,3.42,ECE10002;ECE10005;ECE10020;ECE20016;ECE20057;ECE20064;ECE20065;ECE20022;ECE20042;ECE20021,3.66;3.15;3.83;2.91;3.41;4.0;2.57;2.68;3.59;3.5,ECE10020;ECE20021,30,ECE30030;ECE30002,Embedded Systems;Mobile Computing,Integrated Circuits,yes,18,88%,4,10,83%,76%
22100042,Kang Nayeon,AI - Computer Science and Engineering,6,3.48,ECE10020;ECE10005;ECE10002;ECE20010;ECE20025;ECE20064;ECE20057;ECE20026;ECE20006;ECE30039;ECE30030;ECE30011,4.39;4.48;2.7;3.21;3.73;4.33;3.24;3.72;3.38;4.32;2.93;4.12,ECE10020;ECE20010;ECE20026,36,ECE30078;ECE30003,Artificial Intelligence;Security;Computer Vision,Web Development,yes,20,79%,4,9,97%,86%
22000043,Oh Jihoon,Computer Science,4,4.13,ECE10005;ECE10002;ECE20010;ECE20025;ECE20065,4.15;3.81;4.25;2.7;4.4,ECE20010,15,ECE20042;ECE20026;ECE20022,Human-Computer Interaction;Medical Imaging;Mobile Development,Computer Networks,no,5,80%,4,9,78%,86%
22100044,Han Hyunwoo,Computer Science and Electrical Engineering,4,3.31,ECE10020;ECE10005;ECE10002;ECE20016;ECE20010,2.95;2.9;2.71;4.44;4.3,ECE10020;ECE20010,15,ECE20026;ECE20009,Wireless Communication;Medical Imaging;Image Processing;Computer Vision,Image Processing,yes,17,97%,4,2,100%,87%
22100045,Yoon Jinyoung,Computer Science,4,3.25,ECE10005;ECE10002;ECE20065;ECE20010;ECE20016,2.65;4.39;2.52;3.94;3.61,ECE20010,15,ECE20026;ECE20021;ECE20022;ECE20042,Sensor Technology;Deep Learning,Artificial Intelligence,no,23,91%,9,4,78%,81%
22100046,Yoon Minji,Computer Science and Electrical Engineering,5,3.19,ECE10002;ECE10005;ECE10020;ECE20025;ECE20057;ECE20065;ECE20064;ECE20042;ECE20026;ECE20027;ECE20022,2.72;2.56;2.51;2.78;4.42;3.02;3.98;2.68;2.9;4.5;3.18,ECE10020;ECE20026,33,ECE30051;ECE30002;ECE30011;ECE30070,Deep Learning;Image Processing,Deep Learning,no,13,93%,8,9,83%,96%
22100047,Oh Eunji,Electrical Engineering,5,3.25,ECE10005;ECE10002;ECE10020;ECE20016;ECE20064;ECE20010;ECE20006;ECE20010;ECE20053,4.33;2.93;3.7;2.91;3.65;3.17;2.66;2.67;2.89,ECE10020,27,ECE30051;ECE30063;ECE30039;ECE30070,Robotics;Software Engineering,Game Development,yes,39,91%,5,7,78%,99%
22100048,Joo Seojin,AI - Computer Science and Engineering,4,3.32,ECE10002;ECE10005;ECE20057;ECE20025,3.06;3.42;3.59;2.91,,12,ECE20063;ECE20026;ECE20009,Computer Vision;Mobile Computing;Multimedia Systems;Medical Imaging,Computer Networks,no,7,87%,5,4,92%,91%
22300049,Yoon Jinyoung,Computer Science and Electrical Engineering,6,3.74,ECE10002;ECE10005;ECE10020;ECE20064;ECE20010;ECE20063;ECE20021;ECE20042;ECE30002;ECE30012;ECE30030;ECE30070,4.24;2.89;3.91;3.7;3.67;4.08;4.11;3.34;3.8;4.18;3.58;3.51,ECE10020;ECE20010;ECE20021,36,ECE30018;ECE30078;ECE30006,Multimedia Systems;Game Development;Human-Computer Interaction;Software Engineering,Image Processing,no,23,85%,9,3,84%,91%
22200050,Ahn Chaeyoung,Computer Science,6,3.53,ECE10020;ECE10002;ECE20065;ECE20016;ECE20063;ECE20009;ECE20026;ECE30002;ECE30008;ECE30039,3.75;3.67;3.3;3.12;2.69;3.58;4.49;3.01;4.06;2.5,ECE10020;ECE20026;ECE30008,30,ECE30006;ECE30003,Human-Computer Interaction;Mobile Development;Computer Vision,Integrated Circuits,yes,38,83%,8,3,97%,83%
22200051,Choi Yeonjun,AI - Computer Science and Engineering,4,4.15,ECE10005;ECE10002;ECE10020;ECE20010;ECE20016;ECE20065,4.35;4.23;3.72;3.77;3.85;3.45,ECE10020;ECE20010,18,ECE20026;ECE20042;ECE20022,Computer Networks;Wireless Communication;Embedded Systems,Human-Computer Interaction,yes,35,75%,3,3,84%,89%
22000052,Gu Areum,AI - Computer Science and Engineering,3,2.99,ECE10002;ECE10005;ECE10020,2.72;4.41;2.51,ECE10020,9,ECE20025;ECE20064,Image Processing;Robotics,Image Processing,no,10,94%,6,3,100%,96%
22400053,Jang Myungsoo,Computer Science and Electrical Engineering,4,3.69,ECE10005;ECE10020;ECE20025;ECE20064,3.51;3.43;2.63;4.35,ECE10020,12,ECE20027;ECE20042;ECE20021;ECE20009,Computer Vision;Image Processing;Robotics;Mobile Development,Deep Learning,yes,28,95%,7,5,93%,100%
22100054,Jeon Haeun,Computer Science,4,3.69,ECE10002;ECE10020;ECE20065;ECE20057;ECE20016;ECE20025,3.14;3.96;2.72;3.7;3.81;4.26,ECE10020,18,ECE20042;ECE20022;ECE20009;ECE20027,Computer Networks;Robotics;Artificial Intelligence;Sensor Technology,Security,yes,18,76%,3,8,75%,95%
21900055,Yang Harin,Computer Science,5,3.25,ECE10002;ECE10020;ECE10005;ECE20010;ECE20025;ECE20026;ECE20042;ECE20063,3.8;2.74;4.21;3.88;3.77;3.98;2.91;3.07,ECE10020;ECE20010;ECE20026,24,ECE30002;ECE30012;ECE30030,Wireless Communication;Computer Networks;Game Development,Sensor Technology,yes,13,87%,6,2,95%,91%
22400056,Hwang Jinwoo,Computer Science,2,3.0,,,,0,ECE10002;ECE10020;ECE10005,Software Engineering;Medical Imaging;Game Development,Game Development,no,29,98%,4,8,78%,89%
22100057,Byun Kyungsoo,AI - Computer Science and Engineering,2,2.5,,,,0,ECE10005;ECE10002,Web Development;Medical Imaging;Software Engineering,Game Development,no,6,82%,6,2,86%,77%
22300058,Hong Gyuri,Electrical Engineering,4,3.36,ECE10002;ECE10020;ECE10005;ECE20010;ECE20064;ECE20057,2.6;3.03;3.82;4.49;3.78;3.86,ECE10020,18,ECE20053;ECE20022,Embedded Systems;Medical Imaging;Software Engineering,Mobile Computing,yes,13,89%,8,3,92%,100%
21900059,Choi Myungsoo,AI - Computer Science and Engineering,2,3.39,,,,0,ECE10002;ECE10020,Human-Computer Interaction;Signal Processing,Sensor Technology,no,12,86%,4,4,100%,79%
22100060,Shin Soyeon,Electrical Engineering,2,3.79,,,,0,ECE10002;ECE10020;ECE10005,Wireless Communication;Robotics;Artificial Intelligence,Web Development,yes,29,99%,3,6,75%,88%
22400061,Byun Soyeon,Electrical Engineering,4,3.52,ECE10005;ECE10002;ECE20057;ECE20010;ECE20065;ECE20064,2.68;2.96;3.82;3.95;2.58;3.74,ECE20065,18,ECE20022;ECE20053;ECE20063,Embedded Systems;Computer Networks,Human-Computer Interaction,no,17,98%,6,2,79%,84%
22100062,Byun Harin,Computer Science and Electrical Engineering,3,3.07,ECE10020;ECE10002;ECE10005,3.0;3.02;3.09,ECE10020,9,ECE20010;ECE20016;ECE20057;ECE20025,Wireless Communication;Integrated Circuits,Web Development,yes,25,95%,4,9,80%,90%
22000063,Gu Kyungsoo,Computer Science,5,3.88,ECE10020;ECE10005;ECE20025;ECE20057;ECE20065;ECE20027;ECE20022,4.44;4.49;3.38;4.42;4.2;3.64;3.68,ECE10020,21,ECE30008;ECE30011;ECE30030,Mobile Computing;Medical Imaging;Image Processing;Security,Artificial Intelligence,no,40,84%,9,9,85%,89%
22100064,Jang Haejin,AI - Computer Science and Engineering,3,4.04,ECE10002;ECE10005,4.13;3.45,,6,ECE20065;ECE20057;ECE20025,Medical Imaging;Computer Vision,Web Development,no,5,77%,4,8,77%,91%
22200065,No Jihoon,AI - Computer Science and Engineering,6,3.17,ECE10020;ECE10002;ECE20064;ECE20010;ECE20065;ECE20026;ECE20021;ECE20027;ECE20042;ECE30011;ECE30030;ECE30012;ECE30039,3.89;4.01;2.72;3.07;2.51;3.01;4.21;2.96;4.48;2.77;4.45;4.32;2.63,ECE10020;ECE20010;ECE20026;ECE20021,39,ECE30087;ECE30018;ECE30003;ECE30078,Integrated Circuits;Computer Vision;Wireless Communication,Integrated Circuits,yes,9,88%,3,5,85%,86%
22200066,Kang Minho,AI - Computer Science and Engineering,2,3.62,,,,0,ECE10020;ECE10005;ECE10002,Multimedia Systems;Computer Networks,Robotics,no,15,80%,5,6,80%,91%
22200067,Ryu Jinyoung,Computer Science and Electrical Engineering,2,2.93,,,,0,ECE10020;ECE10002;ECE10005,Signal Processing;Deep Learning;Mobile Development;Security,Computer Vision,no,31,97%,8,10,77%,93%
22400068,Lee Eunji,Electrical Engineering,5,3.57,ECE10002;ECE10020;ECE10005;ECE20016;ECE20064;ECE20057;ECE20065;ECE20010;ECE20053;ECE20063,2.52;2.84;4.17;4.22;3.66;2.92;4.38;2.64;3.09;3.05,ECE10020;ECE20065,30,ECE30021;ECE30054;ECE30051;ECE30070,Computer Vision;Computer Networks;Autonomous Systems,Robotics,yes,11,91%,3,1,91%,79%
22200069,Oh Hyunwoo,Computer Science,6,3.7,ECE10005;ECE10020;ECE10002;ECE20057;ECE20064;ECE20065;ECE20042;ECE20022;ECE20006;ECE30070;ECE30051,3.0;3.24;3.88;3.46;3.0;4.18;4.3;4.35;4.07;2.93;4.01,ECE10020,33,ECE30087;ECE30006;ECE30086,Robotics;Human-Computer Interaction;Computer Vision,Human-Computer Interaction,no,32,80%,8,7,94%,87%
22300070,Kwon Dahyun,Electrical Engineering,3,3.54,ECE10002;ECE10020;ECE10005,2.84;3.58;3.98,ECE10020,9,ECE20057;ECE20064;ECE20010,Wireless Communication;Game Development;Image Processing;Embedded Systems,Game Development,yes,14,77%,8,4,94%,77%
22000071,Joo Hyunwoo,Computer Science,4,3.81,ECE10002;ECE10005;ECE20065;ECE20064;ECE20025,3.71;4.49;3.33;4.24;4.0,,15,ECE20026;ECE20022;ECE20009,Medical Imaging;Multimedia Systems;Human-Computer Interaction,Wireless Communication,yes,10,88%,8,7,98%,96%
22100072,No Seungmin,Electrical Engineering,2,2.83,,,,0,ECE10002;ECE10020,Artificial Intelligence;Mobile Computing;Robotics;Image Processing,Computer Vision,yes,13,98%,9,7,76%,88%
21900073,Han Yeonjun,AI - Computer Science and Engineering,6,3.4,ECE10005;ECE10002;ECE10020;ECE20010;ECE20064;ECE20065;ECE20063;ECE20021;ECE30051;ECE30070;ECE30008;ECE30039,3.95;3.83;2.69;3.38;2.78;2.8;2.97;4.42;3.26;3.7;4.05;4.33,ECE10020;ECE20010;ECE20021;ECE30008,36,ECE30006;ECE30018;ECE30078,Sensor Technology;Deep Learning;Signal Processing;Embedded Systems,Deep Learning,yes,38,86%,5,5,100%,92%
22300074,Park Youngjae,Electrical Engineering,4,3.51,ECE10005;ECE10020;ECE20016;ECE20064,4.08;3.67;2.63;3.71,ECE10020,12,ECE20021;ECE20022;ECE20006,Sensor Technology;Mobile Development;Deep Learning;Medical Imaging,Game Development,yes,35,79%,9,7,75%,77%
22100075,Jeon Haeun,Computer Science,5,3.36,ECE10002;ECE10020;ECE20065;ECE20064;ECE20009;ECE20063;ECE20006;ECE20027,2.77;3.15;3.91;2.92;3.11;4.44;2.98;3.27,ECE10020,24,ECE30030;ECE30039,Embedded Systems;Computer Networks;Image Processing;Artificial Intelligence,Embedded Systems,yes,39,90%,4,5,97%,87%
21900076,Jang Nari,Electrical Engineering,2,3.15,,,,0,ECE10002;ECE10020,Signal Processing;Autonomous Systems;Integrated Circuits;Game Development,Signal Processing,no,10,91%,8,3,94%,81%
22300077,Nam Hana,Electrical Engineering,4,3.58,ECE10005;ECE10020;ECE20010;ECE20065,4.05;3.1;3.62;3.62,ECE10020;ECE20065,12,ECE20022;ECE20063,Security;Wireless Communication;Signal Processing;Software Engineering,Embedded Systems,yes,23,80%,8,7,99%,96%
21900078,Seok Soobin,AI - Computer Science and Engineering,3,3.0,ECE10002;ECE10005;ECE10020,2.63;2.66;3.8,ECE10020,9,ECE20064;ECE20016;ECE20065;ECE20025,Deep Learning;Wireless Communication,Deep Learning,yes,15,100%,6,10,91%,93%
22400079,Han Areum,Computer Science and Electrical Engineering,5,3.81,ECE10005;ECE10020;ECE10002;ECE20025;ECE20016;ECE20010;ECE20006;ECE20009;ECE20022,3.79;2.54;3.68;3.46;4.44;3.18;3.27;3.67;3.89,ECE10020;ECE20010,27,ECE30012;ECE30002,Mobile Computing;Embedded Systems;Integrated Circuits;Computer Vision,Computer Vision,no,25,84%,5,3,94%,97%
22000080,Song Jinwoo,AI - Computer Science and Engineering,4,3.57,ECE10002;ECE10005;ECE20064;ECE20057;ECE20010,3.97;2.8;2.97;3.97;4.36,ECE20010,15,ECE20006;ECE20021,Computer Networks;Human-Computer Interaction;Signal Processing;Image Processing,Medical Imaging,yes,36,79%,9,7,81%,97%
22200081,Nam Soyeon,Computer Science and Electrical Engineering,2,3.59,,,,0,ECE10020;ECE10005,Computer Vision;Signal Processing,Human-Computer Interaction,yes,11,91%,7,9,93%,75%
22000082,Baek Soyeon,Electrical Engineering,6,3.34,ECE10002;ECE10020;ECE20016;ECE20010;ECE20006;ECE20016;ECE20066;ECE30063;ECE30054;ECE30083;ECE30021,2.59;3.81;3.76;3.71;4.22;4.15;3.52;3.59;3.03;2.91;3.14,ECE10020;ECE20066,33,ECE30087;ECE30078;ECE30018;ECE30052,Game Development;Web Development;Artificial Intelligence,Integrated Circuits,no,36,96%,7,1,93%,88%
22200083,Seo Mingyu,Electrical Engineering,6,3.2,ECE10002;ECE10005;ECE20016;ECE20057;ECE20061;ECE20022;ECE20063;ECE20016;ECE30021;ECE30039;ECE30063,3.07;3.02;4.37;3.56;2.56;3.95;4.06;2.87;2.58;3.47;3.25,,33,ECE30040;ECE30078,Web Development;Deep Learning;Signal Processing;Multimedia Systems,Robotics,no,39,93%,9,4,92%,99%
22200084,Cho Haejin,AI - Computer Science and Engineering,4,3.37,ECE10005;ECE10020;ECE10002;ECE20016;ECE20025,3.85;3.94;2.71;3.58;3.0,ECE10020,15,ECE20026;ECE20021;ECE20009,Security;Software Engineering;Sensor Technology;Medical Imaging,Security,no,27,96%,7,2,89%,76%
21900085,Seok Yejin,Computer Science,6,3.25,ECE10005;ECE10002;ECE10020;ECE20025;ECE20064;ECE20010;ECE20065;ECE20063;ECE20006;ECE30011;ECE30070,3.11;3.35;3.25;3.89;4.1;3.92;3.44;3.27;2.69;3.82;4.15,ECE10020;ECE20010,33,ECE30087;ECE30078;ECE30040,Game Development;Embedded Systems;Integrated Circuits,Software Engineering,yes,28,75%,5,5,94%,96%
22000086,Seo Jisoo,Computer Science,6,3.38,ECE10020;ECE10005;ECE10002;ECE20025;ECE20057;ECE20064;ECE20065;ECE20006;ECE20027;ECE20063;ECE20026;ECE30012;ECE30039,3.57;3.49;3.15;4.4;3.36;2.93;3.37;3.66;3.45;4.38;2.97;3.21;3.73,ECE10020;ECE20026,39,ECE30040;ECE30087,Mobile Computing;Security;Image Processing,Multimedia Systems,yes,34,76%,5,1,85%,85%
21900087,Nam Sunghoon,Computer Science and Electrical Engineering,3,3.71,ECE10002;ECE10020;ECE10005,3.95;4.45;3.47,ECE10020,9,ECE20064;ECE20057;ECE20016,Integrated Circuits;Computer Networks;Mobile Computing;Artificial Intelligence,Computer Vision,no,12,96%,5,9,76%,78%
22100088,Gu Nayeon,Electrical Engineering,3,3.2,ECE10002;ECE10020,2.59;3.91,ECE10020,6,ECE20057;ECE20064;ECE20016;ECE20065,Integrated Circuits;Multimedia Systems,Computer Vision,yes,10,77%,6,9,91%,88%
